"연령계층별",2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 05,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 07,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 08,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 09,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 10,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 11,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2019. 12,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 01,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 02,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 03,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 04,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05,2020. 05
"연령계층별",인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
"15세 이상 전체",44460,28468,27322,1145,15992,64.0,4.0,61.5,44495,28545,27408,1137,15951,64.2,4.0,61.6,44530,28480,27383,1097,16050,64.0,3.9,61.5,44546,28216,27358,858,16330,63.3,3.0,61.4,44573,28288,27404,884,16285,63.5,3.1,61.5,44601,28373,27509,864,16228,63.6,3.0,61.7,44625,28380,27515,866,16245,63.6,3.1,61.7,44661,28095,27154,942,16566,62.9,3.4,60.8,44665,27952,26800,1153,16713,62.6,4.1,60.0,44698,27991,26838,1153,16708,62.6,4.1,60.0,44712,27789,26609,1180,16923,62.2,4.2,59.5,44725,27734,26562,1172,16991,62.0,4.2,59.4,44756,28209,26930,1278,16548,63.0,4.5,60.2
"15 - 19세",2639,234,217,17,2405,8.9,7.1,8.2,2629,208,191,17,2420,7.9,8.2,7.3,2615,238,209,29,2377,9.1,12.0,8.0,2600,218,202,16,2382,8.4,7.5,7.8,2586,181,170,11,2405,7.0,5.9,6.6,2572,194,184,9,2379,7.5,4.9,7.2,2558,185,176,9,2373,7.2,4.6,6.9,2545,202,188,14,2343,7.9,6.9,7.4,2529,229,205,24,2300,9.1,10.6,8.1,2515,213,194,19,2302,8.5,8.9,7.7,2501,174,150,23,2327,7.0,13.5,6.0,2485,148,129,19,2338,5.9,12.7,5.2,2472,181,168,14,2291,7.3,7.5,6.8
"20 - 29세",6434,4157,3736,420,2277,64.6,10.1,58.1,6444,4165,3729,436,2279,64.6,10.5,57.9,6453,4193,3787,406,2260,65.0,9.7,58.7,6450,4072,3781,291,2377,63.1,7.1,58.6,6453,4082,3780,302,2371,63.3,7.4,58.6,6459,4113,3814,299,2346,63.7,7.3,59.0,6460,4110,3819,291,2350,63.6,7.1,59.1,6471,4061,3765,296,2411,62.8,7.3,58.2,6459,4056,3751,304,2403,62.8,7.5,58.1,6467,4025,3663,362,2442,62.2,9.0,56.6,6462,3899,3520,379,2563,60.3,9.7,54.5,6455,3878,3524,355,2577,60.1,9.1,54.6,6462,4015,3602,413,2447,62.1,10.3,55.7
"30 - 39세",7292,5758,5543,214,1534,79.0,3.7,76.0,7285,5790,5576,214,1495,79.5,3.7,76.5,7273,5753,5540,213,1520,79.1,3.7,76.2,7261,5691,5518,173,1569,78.4,3.0,76.0,7248,5705,5544,161,1543,78.7,2.8,76.5,7236,5686,5515,170,1550,78.6,3.0,76.2,7224,5700,5533,168,1523,78.9,2.9,76.6,7212,5704,5551,154,1508,79.1,2.7,77.0,7198,5682,5518,163,1516,78.9,2.9,76.7,7186,5688,5501,187,1498,79.2,3.3,76.5,7173,5592,5407,184,1581,78.0,3.3,75.4,7159,5557,5362,196,1602,77.6,3.5,74.9,7147,5578,5360,219,1569,78.1,3.9,75.0
"40 - 49세",8304,6682,6519,163,1623,80.5,2.4,78.5,8292,6671,6513,158,1621,80.4,2.4,78.5,8288,6646,6492,154,1643,80.2,2.3,78.3,8284,6630,6504,126,1654,80.0,1.9,78.5,8279,6627,6484,143,1652,80.0,2.2,78.3,8275,6625,6499,126,1650,80.1,1.9,78.5,8271,6625,6484,141,1646,80.1,2.1,78.4,8268,6611,6483,128,1657,80.0,1.9,78.4,8262,6586,6455,132,1676,79.7,2.0,78.1,8258,6584,6426,158,1674,79.7,2.4,77.8,8253,6551,6376,175,1703,79.4,2.7,77.3,8248,6494,6312,182,1754,78.7,2.8,76.5,8245,6524,6333,191,1721,79.1,2.9,76.8
"50 - 59세",8543,6659,6488,171,1884,77.9,2.6,75.9,8554,6677,6517,160,1877,78.1,2.4,76.2,8554,6646,6481,165,1909,77.7,2.5,75.8,8554,6602,6453,150,1952,77.2,2.3,75.4,8554,6647,6494,153,1908,77.7,2.3,75.9,8555,6647,6502,145,1908,77.7,2.2,76.0,8555,6646,6497,149,1909,77.7,2.2,75.9,8555,6607,6463,144,1948,77.2,2.2,75.5,8555,6560,6373,187,1995,76.7,2.8,74.5,8555,6549,6358,191,2006,76.5,2.9,74.3,8555,6518,6308,211,2037,76.2,3.2,73.7,8555,6529,6296,233,2026,76.3,3.6,73.6,8556,6592,6347,245,1963,77.1,3.7,74.2
"60세이상",11248,4979,4819,160,6269,44.3,3.2,42.8,11292,5035,4883,152,6257,44.6,3.0,43.2,11345,5004,4873,131,6341,44.1,2.6,42.9,11398,5002,4901,101,6397,43.9,2.0,43.0,11451,5045,4931,114,6406,44.1,2.3,43.1,11504,5110,4996,114,6395,44.4,2.2,43.4,11557,5115,5006,108,6443,44.3,2.1,43.3,11610,4911,4705,206,6700,42.3,4.2,40.5,11663,4840,4497,342,6824,41.5,7.1,38.6,11716,4931,4696,235,6785,42.1,4.8,40.1,11769,5056,4848,208,6714,43.0,4.1,41.2,11822,5128,4939,189,6694,43.4,3.7,41.8,11875,5318,5121,198,6557,44.8,3.7,43.1
"15 - 64세",36807,25774,24692,1082,11034,70.0,4.2,67.1,36818,25802,24731,1071,11016,70.1,4.2,67.2,36814,25766,24720,1046,11048,70.0,4.1,67.1,36793,25485,24668,817,11308,69.3,3.2,67.0,36782,25525,24684,842,11256,69.4,3.3,67.1,36772,25575,24749,826,11197,69.6,3.2,67.3,36759,25586,24760,826,11172,69.6,3.2,67.4,36757,25480,24663,817,11277,69.3,3.2,67.1,36723,25385,24487,898,11338,69.1,3.5,66.7,36718,25347,24339,1008,11372,69.0,4.0,66.3,36695,25044,23982,1062,11650,68.3,4.2,65.4,36669,24941,23875,1065,11729,68.0,4.3,65.1,36663,25291,24113,1178,11372,69.0,4.7,65.8
"15 - 24세",5564,1663,1478,186,3900,29.9,11.2,26.6,5555,1650,1449,201,3906,29.7,12.2,26.1,5545,1713,1515,198,3832,30.9,11.6,27.3,5522,1626,1494,132,3896,29.4,8.1,27.1,5506,1559,1431,128,3947,28.3,8.2,26.0,5492,1595,1468,127,3896,29.1,8.0,26.7,5474,1609,1477,132,3865,29.4,8.2,27.0,5466,1587,1442,146,3878,29.0,9.2,26.4,5433,1613,1460,152,3821,29.7,9.5,26.9,5422,1588,1410,179,3834,29.3,11.3,26.0,5397,1448,1269,179,3949,26.8,12.4,23.5,5371,1429,1252,177,3942,26.6,12.4,23.3,5359,1543,1360,183,3816,28.8,11.8,25.4
"15 - 29세",9073,4390,3953,437,4683,48.4,9.9,43.6,9072,4373,3920,453,4700,48.2,10.4,43.2,9069,4431,3997,435,4637,48.9,9.8,44.1,9050,4290,3983,308,4759,47.4,7.2,44.0,9040,4263,3950,313,4776,47.2,7.3,43.7,9031,4306,3998,309,4725,47.7,7.2,44.3,9018,4295,3995,300,4724,47.6,7.0,44.3,9016,4263,3953,310,4753,47.3,7.3,43.8,8988,4285,3956,329,4703,47.7,7.7,44.0,8983,4238,3857,381,4745,47.2,9.0,42.9,8962,4073,3671,402,4889,45.4,9.9,41.0,8941,4026,3653,373,4915,45.0,9.3,40.9,8934,4196,3770,426,4738,47.0,10.2,42.2
