순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
1,005930,삼성전자,"54,200","47,750","6,450","-11.9","856,741,868","42,269,216,023,680"
2,000660,SK하이닉스,"87,900","83,300","4,600","-5.23","149,461,339","12,250,642,650,756"
3,006800,미래에셋대우,"6,340","5,270","1,070","-16.88","101,837,132","501,326,607,935"
4,015760,한국전력,"21,300","19,250","2,050","-9.62","98,761,788","1,958,153,403,000"
5,034220,LG디스플레이,"13,600","11,100","2,500","-18.38","89,119,021","1,018,267,702,240"
6,316140,우리금융지주,"9,610","7,650","1,960","-20.4","74,783,169","583,761,112,460"
7,008560,메리츠증권,"3,475","2,830",645,"-18.56","70,439,679","201,957,002,615"
8,024110,기업은행,"9,510","7,500","2,010","-21.14","64,132,150","482,967,952,000"
9,055550,신한지주,"32,300","28,600","3,700","-11.46","61,037,691","1,699,712,518,455"
10,086790,하나금융지주,"31,400","23,100","8,300","-26.43","57,995,210","1,355,028,087,107"
11,105560,KB금융,"38,900","34,550","4,350","-11.18","55,713,991","1,830,197,855,625"
12,005380,현대차,"115,000","88,700","26,300","-22.87","54,473,076","4,759,125,101,763"
13,032640,LG유플러스,"13,200","10,800","2,400","-18.18","52,597,613","591,946,672,840"
14,000270,기아차,"36,250","26,000","10,250","-28.28","50,565,872","1,394,434,187,500"
15,068270,셀트리온,"170,000","229,000","59,000","34.71","47,749,033","8,676,636,200,000"
16,138930,BNK금융지주,"6,170","4,435","1,735","-28.12","43,828,531","201,843,520,895"
17,009830,한화솔루션,"17,850","13,400","4,450","-24.93","36,873,911","488,914,449,482"
18,009150,삼성전기,"126,000","97,700","28,300","-22.46","33,221,367","3,582,027,141,310"
19,018880,한온시스템,"10,550","8,870","1,680","-15.92","31,651,183","298,665,472,140"
20,096770,SK이노베이션,"113,000","87,000","26,000","-23.01","28,803,894","2,460,857,776,400"
21,000720,현대건설,"34,700","27,450","7,250","-20.89","28,689,975","764,127,154,200"
22,030200,KT,"23,900","19,850","4,050","-16.95","27,352,762","562,128,572,210"
23,066570,LG전자,"60,400","48,200","12,200","-20.2","24,517,191","1,265,794,752,010"
24,035720,카카오,"172,000","155,500","16,500","-9.59","23,847,162","3,695,451,802,063"
25,006400,삼성SDI,"295,000","240,500","54,500","-18.47","22,483,856","5,669,866,788,280"
26,004020,현대제철,"23,850","17,950","5,900","-24.74","21,843,827","393,104,033,500"
27,081660,휠라홀딩스,"38,400","29,050","9,350","-24.35","21,698,816","616,440,658,082"
28,030000,제일기획,"19,350","15,850","3,500","-18.09","18,763,415","286,737,030,550"
29,035420,NAVER,"174,000","170,000","4,000","-2.3","17,814,176","2,851,071,388,064"
30,035250,강원랜드,"22,800","19,750","3,050","-13.38","17,019,728","344,065,643,500"
31,003670,포스코케미칼,"54,900","43,800","11,100","-20.22","16,892,182","780,344,738,700"
32,033780,KT&G,"84,700","74,700","10,000","-11.81","16,499,594","1,269,053,649,900"
33,051910,LG화학,"368,000","305,000","63,000","-17.12","16,474,242","5,238,811,778,000"
34,032830,삼성생명,"58,500","43,000","15,500","-26.5","16,216,453","709,780,089,482"
35,010950,S-Oil,"66,600","57,100","9,500","-14.26","15,980,361","923,028,613,150"
36,047810,한국항공우주,"25,650","20,950","4,700","-18.32","15,786,207","329,985,195,300"
37,016360,삼성증권,"33,100","29,350","3,750","-11.33","14,798,666","416,234,154,150"
38,161390,한국타이어앤테크놀로지,"25,500","19,350","6,150","-24.12","14,524,223","293,389,720,729"
39,028260,삼성물산,"105,500","89,600","15,900","-15.07","12,600,737","1,156,014,826,800"
40,011070,LG이노텍,"130,000","114,000","16,000","-12.31","11,958,089","1,300,869,199,600"
41,005830,DB손해보험,"43,300","34,750","8,550","-19.75","11,827,574","378,241,086,769"
42,005490,POSCO,"195,500","161,000","34,500","-17.65","11,690,528","1,944,161,811,168"
43,001450,현대해상,"22,600","22,650",50,"0.22","9,983,881","194,166,210,900"
44,012330,현대모비스,"210,000","169,500","40,500","-19.29","9,840,754","1,656,624,366,200"
45,009540,한국조선해양,"104,000","78,600","25,400","-24.42","9,686,624","814,811,805,900"
46,017670,SK텔레콤,"212,500","177,000","35,500","-16.71","9,514,146","1,799,227,302,017"
47,090430,아모레퍼시픽,"161,000","168,500","7,500","4.66","9,255,530","1,519,853,232,500"
48,003550,LG,"67,500","59,000","8,500","-12.59","8,867,541","516,824,311,372"
49,034730,SK,"192,000","167,500","24,500","-12.76","8,454,269","1,282,958,495,000"
50,071050,한국금융지주,"62,800","49,750","13,050","-20.78","8,074,174","380,719,335,400"
51,114090,GKL,"16,800","13,500","3,300","-19.64","8,017,585","113,243,936,700"
52,021240,코웨이,"68,900","57,800","11,100","-16.11","7,889,764","481,639,765,860"
53,000210,대림산업,"72,500","73,700","1,200","1.66","7,139,476","453,855,122,350"
54,078930,GS,"41,250","36,800","4,450","-10.79","6,855,273","257,205,015,625"
55,010060,OCI,"49,250","34,800","14,450","-29.34","6,481,989","242,948,455,650"
56,139480,이마트,"105,000","106,500","1,500","1.43","6,197,332","668,190,451,374"
57,012510,더존비즈온,"86,000","81,000","5,000","-5.81","5,686,003","438,608,169,700"
58,161890,한국콜마,"40,950","37,450","3,500","-8.55","5,624,101","203,430,656,050"
59,011170,롯데케미칼,"187,500","193,000","5,500","2.93","5,514,068","913,396,194,600"
60,004990,롯데지주,"29,050","24,000","5,050","-17.38","5,454,915","136,630,943,850"
61,111770,영원무역,"31,500","22,350","9,150","-29.05","5,133,770","120,965,201,650"
62,007070,GS리테일,"35,350","30,900","4,450","-12.59","4,987,977","154,400,974,850"
63,056190,에스에프에이,"36,750","31,250","5,500","-14.97","4,801,759","158,570,163,700"
64,018260,삼성에스디에스,"166,500","149,500","17,000","-10.21","4,741,165","729,917,701,500"
65,011780,금호석유,"59,300","64,800","5,500","9.27","4,720,523","273,275,825,350"
66,051600,한전KPS,"33,250","29,050","4,200","-12.63","4,521,958","132,293,466,100"
67,002790,아모레G,"62,000","55,400","6,600","-10.65","4,493,163","243,338,067,625"
68,000810,삼성화재,"198,000","154,000","44,000","-22.22","4,223,437","665,896,957,820"
69,086900,메디톡스,"293,500","197,300","96,200","-32.78","4,150,309","794,019,817,000"
70,008930,한미사이언스,"29,700","26,950","2,750","-9.26","4,052,591","104,824,654,500"
71,192820,코스맥스,"75,100","78,400","3,300","4.39","3,904,660","282,854,234,600"
72,036570,엔씨소프트,"649,000","652,000","3,000","0.46","3,828,361","2,374,078,919,883"
73,048260,오스템임플란트,"32,500","28,300","4,200","-12.92","3,687,157","106,718,237,050"
74,192080,더블유게임즈,"41,100","43,400","2,300","5.6","3,672,932","152,666,737,000"
75,086280,현대글로비스,"123,000","90,600","32,400","-26.34","3,456,060","331,405,581,000"
76,029780,삼성카드,"33,700","29,900","3,800","-11.28","3,423,855","102,205,116,900"
77,035760,CJ ENM,"125,800","104,100","21,700","-17.25","3,165,448","324,219,960,200"
78,271560,오리온,"94,300","115,000","20,700","21.95","3,078,282","312,967,717,791"
79,001040,CJ,"80,500","64,500","16,000","-19.88","2,945,447","199,510,525,400"
80,009240,한샘,"64,000","50,300","13,700","-21.41","2,837,097","159,874,475,200"
81,039490,키움증권,"66,100","70,000","3,900","5.9","2,471,787","150,101,226,900"
82,069960,현대백화점,"70,900","58,800","12,100","-17.07","2,391,736","150,342,190,100"
83,004170,신세계,"236,000","217,500","18,500","-7.84","2,379,849","550,351,682,500"
84,078340,컴투스,"97,600","84,400","13,200","-13.52","2,323,490","195,817,237,100"
85,012750,에스원,"82,200","80,000","2,200","-2.68","2,262,579","187,169,297,300"
86,000100,유한양행,"214,000","229,000","15,000","7.01","2,146,085","470,408,868,000"
87,004800,효성,"69,300","61,100","8,200","-11.83","2,109,470","128,028,042,600"
88,098460,고영,"95,400","77,600","17,800","-18.66","2,093,744","172,333,734,476"
89,267250,현대중공업지주,"270,500","197,500","73,000","-26.99","1,875,696","400,256,383,000"
90,000120,CJ대한통운,"133,500","136,000","2,500","1.87","1,857,635","240,655,395,500"
91,097950,CJ제일제당,"244,000","216,000","28,000","-11.48","1,765,097","368,316,589,500"
92,051900,LG생활건강,"1,221,000","1,120,000","101,000","-8.27","1,598,554","1,848,759,765,875"
93,010130,고려아연,"414,500","356,000","58,500","-14.11","1,455,530","522,714,189,500"
94,006650,대한유화,"85,600","87,300","1,700","1.99","1,371,563","109,740,658,200"
95,002380,KCC,"166,500","129,500","37,000","-22.22","1,312,155","184,307,768,500"
96,128940,한미약품,"261,000","261,500",500,"0.19","1,296,248","323,114,673,000"
97,036490,SK머티리얼즈,"148,000","134,000","14,000","-9.46","1,187,917","163,729,117,100"
98,004370,농심,"264,000","288,500","24,500","9.28","1,092,922","288,324,057,000"
99,282330,BGF리테일,"151,500","132,000","19,500","-12.87","1,080,769","143,269,494,500"
100,145020,휴젤,"374,900","337,000","37,900","-10.11","438,511","150,956,538,312"